formated_start,formated_end,exercise_name,workout_name
03/10/2022  12:09:7,03/10/2022  12:09:25,,
03/10/2022  12:08:29,03/10/2022  12:09:3,,
03/10/2022  09:47:18,03/10/2022  09:47:29,,
03/10/2022  09:35:52,03/10/2022  09:36:2,,
02/10/2022  09:28:57,02/10/2022  09:29:15,,
02/10/2022  09:27:48,02/10/2022  09:28:0,,
02/10/2022  09:25:7,02/10/2022  09:25:35,,
02/10/2022  09:24:13,02/10/2022  09:24:29,,
03/10/2022  08:49:27,03/10/2022  08:51:33,,
03/10/2022  08:48:43,03/10/2022  08:49:14,,
03/10/2022  08:41:36,03/10/2022  08:41:58,,
02/10/2022  07:60:46,02/10/2022  08:01:11,,
02/10/2022  07:60:46,02/10/2022  08:01:0,,
